area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
South Karelia,Lappeenranta,DNA,362,253,119,65,1161,717,298,52.5,0,0,0,0,7,7,5,72.1,39,33,13,55.5,39,22,14,213.4,104,77,20,60.4,38,32,20,59.1
Satakunta,South Eastern Satakun,Telia,94,75,49,60.3,218,154,79,44.6,0,0,0,0,4,4,3,85.3,24,18,12,73.4,18,1,1,529.6,8,7,7,57.8,8,5,5,66.4
North Karelia,Ilomantsi,Elisa,21,14,8,50.9,57,48,26,37.6,0,0,0,0,1,1,1,9.8,1,1,1,6,1,1,1,188.8,4,4,2,61,5,3,2,19.8
North Karelia,Joensuu,Elisa,807,574,280,59.2,2492,1719,748,50.1,203,120,34,217.9,58,47,19,97,64,54,31,54.8,598,343,120,252.4,483,354,96,69.2,178,126,64,47.3
Southern Savonia,Juva,Telia,168,123,60,46.7,339,252,116,58.1,0,0,0,0,5,3,3,62.9,12,9,6,58.3,2,2,2,139.9,26,22,13,50.2,4,3,3,57
Central Finland,Saarijärvi,DNA,61,43,20,27.6,115,97,44,37.8,0,0,0,0,4,4,1,79,12,10,4,112.1,0,0,0,0,1,1,1,13.2,12,7,4,15.4
Northern Ostrobothnia,Nivala-Haapajärvi,Elisa,102,72,36,26.9,470,296,140,28.4,0,0,0,0,0,0,0,0,16,12,6,56.2,4,4,2,152.9,35,26,14,48.5,24,19,9,37.7
Pirkanmaa,Jämsä,DNA,5,4,4,12.6,22,10,7,32.5,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1,286.6,12,3,1,86.1,2,2,2,35.6
Lapland,Tunturi Lapland,Telia,388,301,223,61,747,529,298,57.7,0,0,0,0,22,15,8,182.9,56,47,31,90.9,28,21,14,225,52,40,19,70.8,51,40,32,54.1
Southern Savonia,Pieksämäki,DNA,45,35,24,32.9,418,226,87,38,0,0,0,0,4,2,1,59.3,6,5,3,46.5,0,0,0,0,6,5,4,58.8,65,43,15,32.3
Tavastia Proper,Forssa,Telia,237,176,86,50,528,354,158,39.4,14,13,5,254.8,22,16,3,66.5,64,29,10,37.1,86,31,11,208.2,68,38,11,59.4,93,45,15,46.2
Tavastia Proper,Lahti,Elisa,12,11,6,24.2,35,27,14,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7.2
Leningrad Oblast,Vyborgsky District,MegaFon,4,4,3,22.6,18,15,8,20.5,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Southern Ostrobothnia,Härmänmaa,DNA,186,127,53,32,324,226,102,35.3,4,2,2,641.3,0,0,0,0,11,8,2,52.2,17,11,6,357.6,10,5,5,64.1,41,19,10,48.9
Southern Savonia,Pieksämäki,Telia,186,80,34,28.5,375,242,88,37,0,0,0,0,1,1,1,30.3,11,10,4,40.2,22,5,3,203.6,33,20,6,46.1,47,24,13,62.5
Southern Savonia,Savonlinna,Elisa,195,149,74,49,477,329,166,44.8,23,14,6,247.6,36,25,3,69.1,5,4,4,27,71,49,21,198.9,83,58,20,73.8,40,29,17,46.8
Uusimaa,Ekenäs,DNA,174,117,75,42.1,548,320,144,33.8,8,1,1,36.7,9,4,3,40.2,39,27,15,84.9,0,0,0,0,4,3,3,10.4,58,47,20,60
Republic of Karelia,Gorod Sortavala,MegaFon,5,3,3,3.2,7,7,6,12.4,0,0,0,0,0,0,0,0,1,1,1,7.1,0,0,0,0,0,0,0,0,1,1,1,29
Finland Proper,Åboland-Turunmaa,DNA,58,41,29,44,172,111,53,38.2,8,6,3,283.8,6,5,2,52,3,3,3,59.8,16,10,4,292.1,26,18,12,43.8,4,3,2,33.6
