PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
34110,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,34110  Lakiala (Ylöjärvi),33729929,1349,40,33,28689,24758352,478,14,3,7,243
34130,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,34130  Ylinen (Ylöjärvi),33169318,1236,37,40,28649,26614563,506,15,2,5,158
34140,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,34140  Mutala (Ylöjärvi),82308866,797,10,38,26595,15025935,337,4,2,1,90
34150,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,34150  Kyrönlahti (Ylöjärvi),73831063,386,5,44,26203,7860795,213,3,2,0,35
34180,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,34180  Länsi-Teisko (Ylöjärvi),58707406,148,3,47,23641,2766028,106,2,1,0,29
34240,Western Finland,Pirkanmaa,Tampere,Tampere,34240  Kämmenteisko (Tampere),80354930,1622,20,40,29041,34703489,646,8,3,4,294
34260,Western Finland,Pirkanmaa,Tampere,Tampere,34260  Terälahti (Tampere),192364696,871,5,46,30771,21909284,517,3,2,1,143
34270,Western Finland,Pirkanmaa,Tampere,Tampere,34270  Velaatta (Tampere),123614449,294,2,51,22690,5808720,208,2,1,0,43
34300,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34300  Kuru Keskus (Ylöjärvi),349416047,1434,4,49,22335,26690376,783,2,2,1,296
34320,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34320  Parkkuu (Ylöjärvi),62916110,215,3,50,23163,4123029,152,2,1,0,29
34330,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34330  Poikelus (Ylöjärvi),53565136,252,5,46,23674,4924210,136,3,2,0,25
34410,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34410  Murole (Ruovesi),36521954,173,5,48,25128,3417452,134,4,1,1,24
