Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G10598,E,21.938889,61.166478,GUL,1,0,0
2G10599,E,21.494308,61.137702,GUL,1,0,0
2G10600,E,22.197774,61.464627,GUL,1,0,0
2G10601,E,21.942280,61.498042,GUL,1,0,0
2G10602,E,21.816788,61.571290,GUL,1,0,0
2G10604,E,22.339327,61.468023,GUL,1,0,0
2G10605,E,22.063827,61.401477,GUL,1,0,0
2G10606,E,21.430634,61.242662,GUL,1,0,0
2G10607,H,21.463445,61.121679,GULN,1,1,1
2G10608,E,22.065364,60.562214,GULN,1,0,0
2G10609,E,22.207919,60.655500,GUL,1,0,0
2G10610,E,21.721520,61.698060,GUL,1,0,0
2G10611,E,22.253116,61.230753,GUL,1,0,0
2G10612,E,21.887877,61.434624,GUL,1,0,0
2G10613,E,21.783844,61.248224,GUL,1,0,0
2G10614,E,21.711428,61.122775,GUL,1,0,0
2G10616,H,22.177493,61.331023,GULN,1,1,1
2G10617,E,22.148132,61.037666,GUL,1,0,0
2G10618,E,21.939417,60.618651,GUL,1,0,0
2G10619,E,22.266311,60.944598,GUL,1,0,0
2G10620,E,21.975627,60.991298,GUL,1,0,0
2G10622,E,21.440715,60.950420,GUL,1,0,0
2G10623,H,22.137978,60.555446,GULN,1,1,1
2G10624,E,22.151087,60.969257,GUL,1,0,0
2G10625,E,22.082760,60.722016,GUL,1,0,0
2G10626,H,22.224500,60.603259,GUL,1,1,0
2G10627,E,21.565752,60.693552,GUL,1,0,0
2G10628,E,21.704300,60.617796,GUL,1,0,0
2G10629,E,22.072856,61.507177,GUL,1,0,0
2G10630,E,22.304062,61.362887,GUL,1,0,0
2G10631,E,21.777919,61.064829,GUL,1,0,0
2G10632,E,21.820314,60.429883,GUL,1,0,0
2G10633,E,21.753978,60.509308,GUL,1,0,0
2G10634,E,21.954331,60.461992,GUL,1,0,0
2G10635,E,21.890212,61.415234,GUL,1,0,0
2G10636,E,21.683639,61.029395,GUL,1,0,0
2G10637,E,22.067180,61.081934,GUL,1,0,0
2G10638,E,21.768768,60.714421,GUL,1,0,0
2G10639,H,22.113737,61.335666,GULN,1,1,1
2G10640,E,21.467086,61.108877,GUL,1,0,0
2G10641,E,21.455352,60.994541,GUL,1,0,0
2G10642,E,22.305829,61.525582,GUL,1,0,0
2G10643,E,22.077666,60.835399,GUL,1,0,0
2G10645,H,21.693369,61.187007,GULN,1,1,1
2G10650,E,21.501193,61.119038,GUL,1,0,0
2G10652,E,21.499034,61.120750,GUL,1,0,0
2G10655,H,22.110263,61.133499,GULN,1,1,1
2G10656,E,21.445951,61.076029,GUL,1,0,0
2G10657,E,22.121860,60.608352,GUL,1,0,0
2G10658,E,22.129394,61.300987,GUL,1,0,0
2G10659,H,21.887247,61.453349,GULN,1,1,1
2G10660,H,22.046683,60.495248,GULN,1,1,1
2G10661,E,22.047447,61.368955,GUL,1,0,0
2G10662,H,22.028773,60.464597,GUL,1,1,0
2G10663,E,22.162212,61.112443,GUL,1,0,0
2G10665,E,21.913158,61.061149,GUL,1,0,0
2G10666,E,21.553725,61.151782,GUL,1,0,0
2G10667,E,21.965209,60.320924,GUL,1,0,0
2G10671,E,22.026076,60.610862,GUL,1,0,0
2G10674,E,21.440855,61.234514,GUL,1,0,0
